objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text
image001,andrews_portrait_1.jpg,Portrait of Andrews,,1910,Portrait of Thomas Andrews,portrait,Belfast,54.59795044,-5.928016511,,,Image:StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/andrews_portrait_1.jpg,/objects/small/andrews_portrait_1_sm.jpg,/objects/thumbs/andrews_portrait_1_th.jpg,"Bust-type portrait of Thomas Andrews, shipbuilder of the Titanic"
image002,andrews_portrait_2.jpg,Portrait of Andrews,,1911,Another Portrait of Thomas Andrews,portrait,Belfast,54.59795044,-5.928016511,,,Image:StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/andrews_portrait_2.jpg,/objects/small/andrews_portrait_2_sm.jpg,/objects/thumbs/andrews_portrait_2_th.jpg,"Full portrait of Thomas Andrews, shipbuilder of the Titanic"
image003,andrews_wedding.jpg,Group Wedding Photo ,,1908,Andrews wedding photo with women,wife; wedding; family,Belfast,54.59795044,-5.928016511,,,Image:StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/andrews_wedding.jpg,/objects/small/andrews_wedding_sm.jpg,/objects/thumbs/andrews_wedding_th.jpg,"Group portrait from the wedding of Thomas Andrews and Helen Reilly Barbour, 1908"
image004,andrews_wife_wedding.jpg,Wedding Photo of Andrews and Wife,,1908,Photo of Andrews and wife at wedding,wife; wedding; family,Belfast,54.59795044,-5.928016511,,,Image:StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/andrews_wife_wedding.jpg,/objects/small/andrews_wife_wedding_sm.jpg,/objects/thumbs/andrews_wife_wedding_th.jpg,"Photo of Thomas Andrews and Helen Reilly Barbour on their wedding day, 1908"
image005,andrews_wife_child.jpg,"Andrews, Wife, and Child",,1910,"Andrews, wife, and child",wife; child; family,Belfast,54.59795044,-5.928016511,,,Image:StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/andrews_wife_child.jpg,/objects/small/andrews_wife_child_sm.jpg,/objects/thumbs/andrews_wife_child_th.jpg,"Thomas Andrews standing with wife Helen, holding child, c. 1911"
image006,andrews_family.jpg,Andrews Family Portrait,,1895,Andrews portrait with family,portrait; family; young,Belfast,54.59795044,-5.928016511,,,Image:StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/andrews_family.jpg,/objects/small/andrews_family_sm.jpg,/objects/thumbs/andrews_family_th.jpg,"Group portrait of Thomas Andrew's family, featuring young Andrews"
image007,young_andrews.jpg,Young Andrews,,1895,Young Thomas Andrews photo,young,Belfast,54.59795044,-5.928016511,,,Image:StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/young_andrews.jpg,/objects/small/young_andrews_sm.jpg,/objects/thumbs/young_andrews_th.jpg,"Close up picture of young Thomas Andrews, with moustache"
image008,andrews_cricket.jpg,Young Andrews as Cricket Player,,1895,Young Andrews as cricket player,young; cricket,Belfast,54.59795044,-5.928016511,,,Image:StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/andrews_cricket.jpg,/objects/small/andrews_cricket_sm.jpg,/objects/thumbs/andrews_cricket_th.jpg,"Pictures of young Andrews as a cricket player, with moustache"
image009,andrews_ring.jpg,"Andrew's Wife's Engagement Ring, Recently Auctioned",,2019,Andrews's engagment ring (photographed 2019 before auction),wedding; ring,United Kingdom,,,,,Image:StillImage,image/jpeg,HAldridge/BNPS,HAldridge/BNPS,image,/objects/andrews_ring.jpg,/objects/small/andrews_ring_sm.jpg,/objects/thumbs/andrews_ring_th.jpg,"Photograph of sapphire engagement ring, given by Thomas Andrews to his wife"
image010,garber_as_andrews.jpg,Garber as Andrews from Titanic (1997),,1997,,film,,,,,,Image:StillImage,image/jpeg,James Cameron,James Cameron,image,/objects/garber_as_andrews.jpg,/objects/small/garber_as_andrews_sm.jpg,/objects/thumbs/garber_as_andrews_th.jpg,"Photograph of Victor Garber as Thomas Andrews, standing on grand staircase, from James Cameron's Titanic (1997)"
image011,titanic_plan.jpg,Cutaway of the Titanic,,,,titanic; plan; ship,,,,,,,,,,,/objects/titanic_plan.png,/objects/small/titanic_plan_sm.jpg,/objects/thumbs/titanic_plan_th.jpg,Blueprint of a ship
image012,titanic_leaving_belfast.jpg,"Titanic Leaving Belfast Harbour, April 1912",,1912,,titanic; belfast; sailing; ship,,,,,,Image:Stillimage,image/jpeg,Public domain,,image,/objects/titanic_leaving_belfast.jpg,/objects/small/titanic_leaving_belfast_sm.jpg,/objects/thumbs/titanic_leaving_belfast_th.jpg,Ocean liner Titanic leaving Belfast Harbour
image013,titanic_sinking.jpg,Artistic Rendering of the Titanic Sinking,,1912,,titanic; sinking; ship,,41.46,-50.14,,,,,Public domain,,image,/objects/titanic_sinking.jpg,/objects/small/titanic_sinking_sm.jpg,/objects/thumbs/titanic_sinking_th.jpg,An artistic rendering of a ship sinking
image014,titanic_wreck.jpg,The Wreck of the Titanic,,1985,,titanic; sinking; ship,,41.725556,-49.946944,,,,,Public domain,,image,/objects/titanic_wreck.jpg,/objects/small/titanic_wreck_sm.jpg,/objects/thumbs/titanic_wreck_th.jpg,Wreckage of a ship at the bottom of the ocean