objectid,filename,title,creator,date,description,subject,location,source,identifier,type,format,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text
image001,andrews_portrait_1.jpg,Portrait of Thomas Andrews,,1911,Portrait of Thomas Andrews,"Andrews, portrait",Belfast,,,Image:StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/andrews_portrait_1.jpg,/objects/andrews_portrait_1_sm.jpg,/objects/andrews_portrait_1_th.jpg,"Bust-type portrait of Thomas Andrews, shipbuilder of the Titanic"
image002,andrews_portrait_2.jpg,Another Portrait of Thomas Andrews,,1911,Another Portrait of Thomas Andrews,"Andrews, portrait",Belfast,,,Image:StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/andrews_portrait_2.jpg,/objects/andrews_portrait_2_sm.jpg,/objects/andrews_portrait_2_th.jpg,"Full portrait of Thomas Andrews, shipbuilder of the Titanic"
image003,andrews_wedding.jpg,Group photo from Thomas Andrews's wedding,,1910,Andrews wedding photo with women,"Andrews, wife, wedding",Belfast,,,Image:StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/andrews_wedding.jpg,/objects/andrews_wedding_sm.jpg,/objects/andrews_wedding_th.jpg,"Group portrait from the wedding of Thomas Andrews and Helen Reilly Barbour, 1908"
image004,andrews_wife_wedding.jpg,Wedding photo of Thomas Andrews and wife,,1910,Photo of Andrews and wife at wedding,"Andrews, wife, wedding",Belfast,,,Image:StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/andrews_wife_wedding.jpg,/objects/andrews_wife_wedding_sm.jpg,/objects/andrews_wife_wedding_th.jpg,"Photo of Thomas Andrews and Helen Reilly Barbour on their wedding day, 1908"
image005,andrews_wife_child.jpg,"Thomas Andrews, wife, and child",,1910,"Andrews, wife, and child","Andrews, wife, child",Belfast,,,Image:StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/andrews_wife_child.jpg,/objects/andrews_wife_child_sm.jpg,/objects/andrews_wife_child_th.jpg,"Thomas Andrews standing with wife Helen, holding child, c. 1911"
image006,andrews_family.jpg,Andrews family portrait (young Thomas Andrews),,1895,Andrews portrait with family,"Andrews, portrait, family",Belfast,,,Image:StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/andrews_family.jpg,/objects/andrews_family_sm.jpg,/objects/andrews_family_th.jpg,"Group portrait of Thomas Andrew's family, featuring young Andrews"
image007,young_andrews.jpg,Young Thomas Andrews,,1895,Young Thomas Andrews photo,"Andrews, young",Belfast,,,Image:StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/young_andrews.jpg,/objects/young_andrews_sm.jpg,/objects/young_andrews_th.jpg,"Close up picture of young Thomas Andrews, with moustache"
image008,andrews_cricket.jpg,Thomas Andrews as cricket player,,1895,Young Andrews as cricket player,"Andrews, young, cricket",Belfast,,,Image:StillImage,image/jpeg,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/andrews_cricket.jpg,/objects/andrews_cricket_sm.jpg,/objects/andrews_cricket_th.jpg,"Pictures of young Andrews as a cricket player, with moustache"
image009,andrews_ring.jpg,Thomas Andrews wife's engagement ring,HAldridge/BNPS,2019/03/26,Andrews's engagment ring (photographed 2019 before auction),"Andrews, wedding, ring",United Kingdom,,,Image:StillImage,image/jpeg,,HAldridge/BNPS,image,/objects/andrews_ring.jpg,/objects/andrews_ring_sm.jpg,/objects/andrews_ring_th.jpg,"Photograph of sapphire engagement ring, given by Thomas Andrews to his wife"
image010,garber_as_andrews.jpg,Garber as Andrews from Titanic (1997),James Cameron,1997,,,,,,Image:StillImage,image/jpeg,,James Cameron,image,/objects/garber_as_andrews.jpg,/objects/garber_as_andrews_sm.jpg,/objects/garber_as_andrews_th.jpg,"Photograph of Victor Garber as Thomas Andrews, standing on grand staircase, from James Cameron's Titanic (1997)"